Method,K,Cluster,Size,Center,Center-Forward,Forward-Center,Forward,Forward-Guard,Guard-Forward,Guard,Feature Set,Player IDs
K-Means++,7,3,12,0.08333333333333333,0,0.08333333333333333,0.25,0,0.08333333333333333,0.4166666666666667,0,1626191 1626192 203894 203948 1626312 101249 204002 1627736 1627767 1627774 1627817 2757
K-Means++,7,4,65,0.12307692307692308,0.015384615384615385,0.09230769230769231,0.38461538461538464,0,0.06153846153846154,0.27692307692307694,0,1897 1626148 1626151 1626174 1626175 1626176 200770 1626184 200779 1626203 1626210 203912 203934 203940 203950 203962 201941 1627855 1627362 1626154 203998 2365 203096 203098 202087 203112 203114 203118 202130 201148 2555 1626202 1627884 2617 1627740 1627743 1627745 1627746 1627754 1627757 1627762 202362 1627771 1627778 1627781 1627787 202349 202390 1718 1627834 203462 2760 1627849 1627850 1627854 203493 1627879 203510 203527 101133 101179 201573 202620 201628 201202
K-Means++,7,5,149,0.18120805369127516,0.053691275167785234,0.06711409395973154,0.4228187919463087,0.026845637583892617,0.053691275167785234,0.19463087248322147,0,1626147 1626149 1626155 1626161 1626162 1626163 200757 1626168 1626169 1626181 200782 1626204 203903 1626245 2754 1626257 203922 203924 203925 203926 2199 203930 203932 203933 2210 203939 203943 2216 203957 203967 202683 203991 201945 203994 201949 201959 201960 201961 201967 201973 203476 204028 204038 203077 203082 203083 203086 203089 203090 203093 203120 203124 203141 203145 1626178 1626179 203186 201145 201147 203200 201156 201160 201162 201167 101112 2403 1626195 202325 2571 201229 202328 2594 202332 202334 202337 202324 1627734 1627737 1627741 1627742 1627750 202344 1627759 202357 203382 1627775 203210 201152 1627783 202389 201158 2730 2736 1713 2743 2744 203458 203459 203460 203463 1627851 203469 203473 203482 202703 203488 203496 203498 203500 203501 203503 101107 203512 203516 203518 203524 203530 101135 101139 101141 203546 203584 203585 203917 201563 201577 201578 201579 201580 201584 201585 201586 201601 1627827 2207 202684 202685 202687 202688 202696 202697 202702 203085 202711 202720 202722 202734 203944 2037
K-Means++,7,6,67,0.05970149253731343,0.014925373134328358,0.014925373134328358,0.1044776119402985,0,0.08955223880597014,0.7164179104477612,0,1626144 1626145 1626150 1626156 200751 1626170 200765 200771 203901 203902 2200 203935 2225 201937 201950 201951 201952 201976 201988 201943 204060 201954 203107 203110 2440 201149 203613 201166 1891 201980 201196 2561 2564 203521 201228 202329 2585 204025 202335 202323 1627739 1627785 202397 204456 2733 2734 2738 1627763 2749 203486 203504 101108 101109 101114 101145 202714 203552 101161 201571 1938 203937 202704 202709 1627098 202730 202732 202066
K-Means++,7,7,93,0.11827956989247312,0,0.053763440860215055,0.3333333333333333,0.021505376344086023,0.13978494623655913,0.3333333333333333,0,1626143 1626158 1626166 1626171 1626172 1626185 1627832 1626196 1626199 1626209 1627835 203895 200826 1626246 203915 1626254 203923 2756 1626273 203949 1627752 201936 201956 201962 204014 201975 1627770 1626159 203080 203087 203092 203094 203101 2399 1626173 203138 203148 2449 101106 201150 201155 201977 1627777 201177 2592 202338 1627733 1627735 1627738 1627747 1627751 1627748 1627756 1627758 1627761 1627773 1627755 1627786 1627789 202391 1626780 2034 1627812 1627815 1627823 1717 2747 203457 1627852 203477 203481 203898 203487 1627749 202498 101123 203526 101138 203909 101181 101187 201575 201582 201589 201600 1627826 201627 202682 202692 202700 202713 202718 203461
K-Means++,8,1,3,0,0,0,0.3333333333333333,0,0,0.6666666666666666,0,1626153 1626154 1627863
K-Means++,8,2,88,0.1590909090909091,0.07954545454545454,0.09090909090909091,0.4090909090909091,0.011363636363636364,0.06818181818181818,0.18181818181818182,0,1626143 1626147 1626149 1626155 1626161 1626162 1626168 1626169 1626172 1626181 1626185 1626204 1626209 1626245 1626257 203922 203924 203925 2210 203939 203943 203957 201945 203994 201967 201973 204028 204038 203086 203089 2399 203120 203124 203141 1626178 1626179 203186 201145 203200 201160 201162 201167 101112 2403 1626195 202325 2571 201229 202332 202334 202337 202324 1627734 1627737 1627741 1627750 1627759 202357 203382 1627775 1627783 1627789 202389 2743 2744 203458 203463 1627851 203473 202703 203488 203498 203518 203530 203546 203584 201563 201578 201579 201580 201585 201601 201627 1627827 202687 202688 202702 202722
K-Means++,8,3,90,0.08888888888888889,0,0.06666666666666667,0.32222222222222224,0.022222222222222223,0.1111111111111111,0.3888888888888889,0,1626158 1626166 1626171 1626192 1626196 1626199 1626210 1627835 203894 203895 200826 203915 2756 1626273 203949 1627752 201936 201956 201962 204014 201975 1627770 1626159 203080 203087 203092 203094 203101 1626173 203138 203148 2449 101106 201150 201155 201977 201177 1626202 2592 202338 1627733 1627735 1627738 1627747 1627751 1627748 1627756 1627758 1627761 1627767 1627774 1627755 1627781 1627786 202391 1626780 2034 1627812 1627815 1627823 1717 2747 203457 2757 1627852 1627854 203477 203481 203898 203487 1627879 1627749 202498 101123 203526 101138 203909 101181 101187 201575 201582 201589 201600 1627826 202682 202692 202700 202713 202718 203461
K-Means++,8,4,62,0.08064516129032258,0.03225806451612903,0.03225806451612903,0.08064516129032258,0,0.0967741935483871,0.6774193548387096,0,1626144 1626145 1626150 1626156 200751 1626170 200765 200771 203901 203902 2200 203935 2225 201937 201951 201976 201988 201943 204060 203107 2440 201147 201149 203613 201166 1891 201980 201196 2561 2564 203521 201228 2585 204025 202323 1627739 1627785 202397 204456 2733 2734 2738 1627763 2749 203482 203486 203504 101109 203512 101114 101135 101145 202714 101161 201571 1938 203937 202709 1627098 202730 202732 202066
K-Means++,8,5,83,0.21686746987951808,0,0.012048192771084338,0.43373493975903615,0.03614457831325301,0.060240963855421686,0.24096385542168675,0,1626163 200757 1626167 200782 203903 2754 203926 2199 203930 203932 203933 2216 203967 202683 203991 201949 201959 201960 201961 204020 203476 200755 203077 203082 203083 203090 203093 203145 201156 202328 202329 2594 202335 1627742 202344 202355 203210 201152 201158 2730 2736 1713 203459 203460 203469 2772 203484 203490 203496 203497 203500 203501 203503 101107 203516 203524 101139 101141 101150 203552 101162 203585 203917 203918 201577 201583 201584 201586 201599 2207 202684 202685 202693 202694 202696 202697 202699 203085 202711 202720 202734 203944 2037
